data,tipo,local,detalhes
2026-02-22,Estelionato,"Rua Maria Monteiro, 908 - Cambuí",Relatório de diligência 415: Fraude em ambiente digital reportada. Investigação em curso.
2026-02-27,Homicídio,"Avenida Alberto Sarmento, 326 - Castelo",Inquérito Policial nº 339: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-18,Estelionato,"Avenida Alberto Sarmento, 1152 - Castelo",Ocorrência registrada via COPOM 267: Venda de terreno inexistente. Suspeito foragido.
2026-02-28,Tráfico de Entorpecentes,"Rua Sampaio Ferraz, 335 - Cambuí",Inquérito Policial nº 580: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-25,Estelionato,"Avenida Brasil, 1920 - Guanabara",Inquérito Policial nº 624: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-09,Estelionato,"Avenida Alberto Sarmento, 168 - Castelo",Ocorrência registrada via COPOM 243: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-14,Tráfico de Entorpecentes,"Rua Doutor Delfino Cintra, 837 - Vila Itapura",Inquérito Policial nº 606: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-22,Estelionato,"Rua Maria Monteiro, 206 - Cambuí",Auto de constatação 875: Golpe do falso bilhete premiado. Investigação em curso.
2026-02-25,Homicídio,"Avenida Andrade Neves, 626 - Castelo",Ocorrência registrada via COPOM 520: Confronto entre grupos rivais. Investigação em curso.
2026-02-28,Furto,"Avenida Brasil, 169 - Guanabara",Ocorrência registrada via COPOM 131: Furto de bicicleta em via pública. Encaminhado ao DP central.
2026-02-01,Furto,"Avenida Albino José Barbosa de Oliveira, 3368 - Barão Geraldo",Auto de constatação 640: Objeto subtraído de interior de veículo. Aguardando perícia técnica.
2026-02-05,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 833 - Barão Geraldo",Relatório de diligência 271: Venda de entorpecentes em praça pública. Investigação em curso.
2026-02-11,Homicídio,"Rua Barão de Itapura, 1961 - Guanabara",Relatório de diligência 336: Crime passional com arma branca. Suspeito foragido.
2026-02-24,Furto,"Avenida Albino José Barbosa de Oliveira, 1958 - Barão Geraldo",Relatório de diligência 878: Furto de fiação elétrica noturno. Investigação em curso.
2026-02-09,Homicídio,"Avenida Francisco Glicério, 2406 - Centro",Relatório de diligência 186: Disparos de arma de fogo em via pública. Aguardando perícia técnica.
2026-02-19,Homicídio,"Avenida Francisco Glicério, 2189 - Centro",Auto de constatação 617: Crime passional com arma branca. Aguardando perícia técnica.
2026-02-28,Tráfico de Entorpecentes,"Rua Sampaio Ferraz, 186 - Cambuí",Ocorrência registrada via COPOM 625: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-16,Tráfico de Entorpecentes,"Avenida Brasil, 876 - Guanabara",Ocorrência registrada via COPOM 601: Apreensão de substâncias análogas à cocaína. Suspeito foragido.
2026-02-07,Homicídio,"Avenida Brasil, 931 - Guanabara",Inquérito Policial nº 369: Vítima encontrada sem sinais vitais. Suspeito foragido.
2026-02-16,Homicídio,"Avenida Anchieta, 540 - Centro",Ocorrência registrada via COPOM 539: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-10,Furto,"Rua Sampaio Ferraz, 501 - Cambuí",Relatório de diligência 823: Objeto subtraído de interior de veículo. Encaminhado ao DP central.
2026-02-05,Furto,"Rua Barão de Itapura, 1392 - Guanabara",Relatório de diligência 537: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-28,Furto,"Avenida Francisco Glicério, 547 - Centro",Auto de constatação 921: Furto de fiação elétrica noturno. Suspeito foragido.
2026-02-21,Furto,"Avenida Alberto Sarmento, 438 - Castelo",Relatório de diligência 437: Furto de fiação elétrica noturno. Aguardando perícia técnica.
2026-02-17,Estelionato,"Avenida Alberto Sarmento, 398 - Castelo",Ocorrência registrada via COPOM 763: Fraude em ambiente digital reportada. Suspeito foragido.
2026-02-09,Furto,"Rua Paula Bueno, 575 - Taquaral",Relatório de diligência 221: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-13,Furto,"Rua Paula Bueno, 733 - Taquaral",Inquérito Policial nº 744: Furto de bicicleta em via pública. Aguardando perícia técnica.
2026-02-07,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 1949 - Centro",Ocorrência registrada via COPOM 616: Apreensão de substâncias análogas à cocaína. Investigação em curso.
2026-02-05,Estelionato,"Rua Sampaio Ferraz, 606 - Cambuí",Auto de constatação 107: Golpe do falso bilhete premiado. Encaminhado ao DP central.
2026-02-23,Furto,"Avenida Albino José Barbosa de Oliveira, 1474 - Barão Geraldo",Auto de constatação 652: Subtração de pertences em residência sem arrombamento. Aguardando perícia técnica.
2026-02-04,Furto,"Avenida Albino José Barbosa de Oliveira, 987 - Barão Geraldo",Inquérito Policial nº 257: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-27,Roubo,"Rua Doutor Delfino Cintra, 792 - Vila Itapura",Relatório de diligência 782: Vítima abordada por dois elementos em motocicleta. Encaminhado ao DP central.
2026-02-17,Furto,"Rua Paula Bueno, 152 - Taquaral",Ocorrência registrada via COPOM 762: Objeto subtraído de interior de veículo. Aguardando perícia técnica.
2026-02-18,Furto,"Avenida Francisco Glicério, 2072 - Centro",Inquérito Policial nº 507: Furto de bicicleta em via pública. Investigação em curso.
2026-02-08,Furto,"Rua Marechal Deodoro, 796 - Vila Itapura",Inquérito Policial nº 524: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-17,Homicídio,"Avenida Andrade Neves, 1902 - Castelo",Inquérito Policial nº 287: Crime passional com arma branca. Investigação em curso.
2026-02-21,Tráfico de Entorpecentes,"Rua Marechal Deodoro, 1521 - Vila Itapura",Inquérito Policial nº 201: Localização de depósito de drogas após denúncia. Aguardando perícia técnica.
2026-02-09,Homicídio,"Rua Sampaio Ferraz, 344 - Cambuí",Relatório de diligência 998: Vítima encontrada sem sinais vitais. Suspeito foragido.
2026-02-14,Estelionato,"Rua Coronel Quirino, 1843 - Cambuí",Inquérito Policial nº 560: Golpe do falso bilhete premiado. Encaminhado ao DP central.
2026-02-26,Roubo,"Avenida Anchieta, 530 - Centro",Relatório de diligência 519: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-25,Estelionato,"Avenida Anchieta, 684 - Centro",Inquérito Policial nº 297: Golpe do falso bilhete premiado. Aguardando perícia técnica.
2026-02-27,Tráfico de Entorpecentes,"Rua Barão de Itapura, 967 - Guanabara",Inquérito Policial nº 418: Indivíduo detido em flagrante com entorpecentes. Aguardando perícia técnica.
2026-02-17,Tráfico de Entorpecentes,"Avenida Andrade Neves, 775 - Castelo",Ocorrência registrada via COPOM 829: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-22,Homicídio,"Rua Marechal Deodoro, 527 - Vila Itapura",Ocorrência registrada via COPOM 280: Vítima encontrada sem sinais vitais. Suspeito foragido.
2026-02-02,Roubo,"Rua Coronel Quirino, 1366 - Cambuí",Ocorrência registrada via COPOM 539: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-25,Tráfico de Entorpecentes,"Rua Coronel Quirino, 576 - Cambuí",Ocorrência registrada via COPOM 165: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-09,Furto,"Avenida Andrade Neves, 2537 - Castelo",Inquérito Policial nº 619: Objeto subtraído de interior de veículo. Encaminhado ao DP central.
2026-02-11,Roubo,"Rua Doutor Delfino Cintra, 272 - Vila Itapura",Inquérito Policial nº 366: Vítima abordada por dois elementos em motocicleta. Encaminhado ao DP central.
2026-02-20,Roubo,"Avenida Francisco Glicério, 2093 - Centro",Auto de constatação 458: Vítima abordada por dois elementos em motocicleta. Suspeito foragido.
2026-02-24,Estelionato,"Avenida Albino José Barbosa de Oliveira, 646 - Barão Geraldo",Ocorrência registrada via COPOM 619: Venda de terreno inexistente. Suspeito foragido.
2026-02-01,Estelionato,"Avenida Brasil, 1030 - Guanabara",Inquérito Policial nº 799: Venda de terreno inexistente. Aguardando perícia técnica.
2026-02-20,Roubo,"Avenida Francisco Glicério, 1308 - Centro",Ocorrência registrada via COPOM 916: Roubo de carga em via arterial. Encaminhado ao DP central.
